Total Months,JAVA Trainees Waiting,JAVA Trainees Training,CSHARP Trainees Waiting,CSHARP Trainees Training,DATA Trainees Waiting,DATA Trainees Training,DEVOPS Trainees Waiting,DEVOPS Trainees Training,BUSINESS Trainees Waiting,BUSINESS Trainees Training,TECH_CENTRES Open,TECH_CENTRES Closed,TECH_CENTRES Full,BOOTCAMPS Open,BOOTCAMPS Closed,BOOTCAMPS Full,TRAINING_HUBS Open,TRAINING_HUBS Closed,TRAINING_HUBS Full
12,109,172,49,135,57,146,62,143,46,147,1,1,0,2,0,0,6,2,3
24,99,635,71,434,70,393,15,415,66,399,4,2,1,2,0,1,15,6,8
36,511,910,395,540,478,487,221,454,595,489,9,5,2,2,0,2,18,6,12
48,1030,1175,723,740,740,719,475,576,910,862,12,6,5,2,0,2,27,9,18
60,1885,1221,1471,834,1388,820,896,723,1600,983,15,8,6,2,0,2,36,16,20
72,2932,1431,2382,949,2324,979,1402,824,2381,1097,18,11,7,2,0,2,45,20,24
84,4376,1622,3633,1056,3567,1096,2035,835,3323,1256,20,13,7,2,0,2,57,27,30
